english,spanish,gemma2:9b,score
600 LED light points,Cobertura de luz uniforme,600 puntos de luz LED,0.6988
Get a 5 minute quick-fix or target specific skin concerns with thorough pre-set routines on the FAQ™ Swiss app.,"Disfruta de un tratamiento rápido de 5 minutos, un tratamiento calmante y reparador, o un tratamiento que combate problemas específicos de tu piel con las rutinas prediseñadas de la aplicación FAQ™ Swiss.",Obtén una solución rápida de 5 minutos o dirigete a preocupaciones específicas de la piel con rutinas preestablecidas exhaustivas en la aplicación FAQ™ Swiss.,0.7757
Get a 5 minute quick-fix or target specific skin concerns with thorough pre-set routines on the FAQTM Swiss app.,"Disfruta de un tratamiento rápido de 5 minutos, un tratamiento calmante y reparador, o un tratamiento que combate problemas específicos de tu piel con las rutinas prediseñadas de la aplicación FAQ™ Swiss.",Consigue una solución rápida de 5 minutos o dirige tus preocupaciones específicas sobre la piel con rutinas preestablecidas exhaustivas en la aplicación FAQ™ Swiss.,0.7304
Significantly,Aumenta significativamente,Significativamente,0.7461
increases firmness.,la firmeza de la piel.,Aumenta la firmeza.,0.7095
Reduces sebum by,Reduce la producción excesiva de sebo un,Reduce el sebo por,0.5805
Intended to stimulate the production of collagen & accelerate the repair of damaged skin cells.,"Penetra más profundamente que la luz LED roja para potenciar los beneficios. Mejora la apariencia de las arrugas, las manchas de la edad y la flacidez.",Intencionado para estimular la producción de colágeno y acelerar la reparación de las células cutáneas dañadas.,0.6926
Intended to improve the appearance of wrinkles.,Favorece la producción de colágeno y elastina para combatir los signos de envejecimiento cutáneo. El resultado es una apariencia más joven.,Intencionado para mejorar la apariencia de las arrugas.,0.6215
Intended to improve the appearance of mild to moderate inflammatory acne.,"Elimina el acné, reduce la apariencia de las imperfecciones y previene futuras erupciones cutáneas.",Intencionado para mejorar la apariencia del acné inflamatorio leve a moderado.,0.6725
Yellow light (580 nm),Luz LED amarilla (570 nm),Luz amarilla (580 nm),0.7077
Intended to reduce the appearance of redness.,Reduce la apariencia de las rojeces y calma la piel.,Intendido para reducir la apariencia del enrojecimiento.,0.7934
Intended to improve hyperpigmentation.,Reduce la apariencia de las manchas de la edad y la hiperpigmentación.,Intencionado para mejorar la hiperpigmentación.,0.6554
"Designed to perfectly fit your face for even light coverage, this ultra-lightweight and wireless face mask uses red light therapy to deliver anti-aging results – all while you walk around and get on with your day. Reduce wrinkles and tackle acne in just 2 weeks.","Diseñada para adaptarse perfectamente a tu rostro y ofrecerte una cobertura de luz uniforme, esta máscara facial inalámbrica y ultraligera usa tecnologías clínicas para aportar resultados clínicos antiedad. Mientras la uses, podrás moverte con total libertad y continuar tu día. Reduce las arrugas y mejora la firmeza y elasticidad de la piel en sólo 2 semanas.","Diseñado para adaptarse perfectamente a tu rostro para una cobertura de luz uniforme, esta mascarilla facial ultraligera y sin cables utiliza terapia con luz roja para ofrecer resultados antienvejecimiento, todo mientras caminas y te ocupas de tu día. Reduce las arrugas y combate el acné en solo 2 semanas.",0.7965
600 LED light points placed in optimal locations ensure even light coverage.,"8 longitudes de ondas LED que combaten los signos avanzados de envejecimiento, la hiperpigmentación y la piel apagada.",600 puntos de luz LED colocados en ubicaciones óptimas aseguran una cobertura de luz uniforme.,0.556
100% of users report FAQ™ 202 fits their face perfectly.,600 puntos de luz perfectamente ubicados para garantizar una cobertura de luz uniforme.,El 100 % de los usuarios informan que el FAQ™ 202 les queda perfectamente en la cara.,0.3902
"Ultra-lightweight, wireless & open eye design with non-slip headband make it easy to move around.",El 100% de los usuarios declaró que FAQ™ 202 se adaptó perfectamente a su rostro,"De diseño ultra ligero, inalámbrico y con ojos abiertos, junto con una banda para la cabeza antideslizante, lo hacen fácil de mover.",0.4619
Pre-set treatments for specific skin concerns are available on the FAQ™ Swiss app.,"Ultraligera, sin cables, con abertura para los ojos y cinta de cabeza antideslizante para que te puedas mover fácilmente.",Tratamientos predefinidos para preocupaciones específicas de la piel están disponibles en la aplicación FAQ™ Suiza.,0.5004
FAQ™ 202 Silicone LED Face Mask,La aplicación FAQ™ Swiss incluye tratamientos prediseñados que tratan problemas específicos de la piel.,mascarilla facial LED de silicona FAQ™ 202,0.4499
60 mL FAQ™ Silicone Cleaning Spray,Máscara LED facial de silicona FAQ™ 202,Spray de Limpieza de Silicona FAQ™ de 60 ml,0.6621
Display case,Spray limpiador de silicona FAQ™ 60 ml,Vitrina,0.4042
Accessory pouch,Estuche,Bolsillo para accesorios,0.5532
USB charging cable,Bolsa de almacenamiento,Cable de carga USB,0.6656
Quick start guide,Cable USB,Guía rápida de inicio,0.5432
User manual,Guía de inicio rápido,Manual del usuario,0.7966
2-year warranty,Manual de uso,Garantía de 2 años,0.6877
FAQ™ 202 Bundle,Garantía de 2 años,FAQ™ 202 Bundle,0.4178
"The ultimate best-buy bundle proves that a perfect pair can change a life. An Anti-Aging LED Mask with 8 wavelengths, including NIR, serves all skin needs, tackling everything from fine lines and pigmentation to blemishes and dullness. Combine the lightweight, wire-free LED mask with the FAQ™ Red Light Peptide Serum, an all-in-one antioxidant-rich serum with Peptides, Sea Daffodil, HA, Green Tea & Cica.",FAQ™ 202 Bundle,"El paquete definitivo de la mejor compra demuestra que un dúo perfecto puede cambiar una vida. Una Mascarilla LED Anti-Aging con 8 longitudes de onda, incluida NIR, satisface todas las necesidades de la piel, abordando todo, desde líneas finas y pigmentación hasta imperfecciones y opacidad. Combina la mascarilla LED ligera y sin cables con el FAQ™ Suero Red Light Peptide, un suero antioxidante integral con péptidos, narciso marino, ácido hialurónico",0.4015
Clinically proven to reduce wrinkles by 32% in just 2 weeks.,"El pack definitivo y más rentable demuestra que una pareja perfecta puede cambiar tu vida. Una máscara LED antiedad con 8 longitudes de onda, incluyendo NIR, que cubre todas las necesidades de la piel, desde líneas finas y pigmentación hasta imperfecciones y falta de luminosidad. Combina esta ligera máscara LED sin cables con el sérum FAQ™ Red Light Peptide, un sérum todo en uno rico en antioxidantes con péptidos, Narciso Marino, ácido hialurónico, té verde y cica.",Prubado clínicamente para reducir las arrugas en un 32% en tan sólo 2 semanas.,0.4881
Reduces acne by 48% and sebum by 18% in just 2 weeks.,Mejora significativamente la firmeza y elasticidad de la piel en solo 2 semanas.,Reduce el acné en un 48% y los niveles de sebo en un 18% en solo 2 semanas.,0.6853
623 points of light placed in optimal locations ensure even light coverage.,Reduce el acné un 48 % y el sebo un 18 % en solo 2 semanas.,623 puntos de luz colocados en ubicaciones óptimas aseguran una cobertura de luz uniforme.,0.4591
"Collagen-boosting Peptides, brightening Sea Daffodil, hydrating HA, soothing Green Tea & Cica.",623 puntos de luz colocados estratégicamente aseguran una cobertura uniforme.,"Péptidos que potencian el colágeno, jacintos de mar iluminadores, ácido hialurónico hidratante, calmante de té verde y cica.",0.3426
Preps and primes to optimize LED performance for best results while supporting the skin barrier.,"Péptidos que estimulan el colágeno, Narciso Marino que ilumina, ácido hialurónico que hidrata y té verde y cica que calman.",Preparación y pre-tratamiento para optimizar el rendimiento de los LEDs para obtener mejores resultados mientras se apoya la barrera cutánea.,0.4672
FAQ™ 202 plus Pre-order,"Prepara y potencia la piel para optimizar el rendimiento de la LED y conseguir los mejores resultados, además de proteger la barrera cutánea.",FAQ™ 202 más Préstamo anticipado,0.2567
"The ultimate best-buy bundle proves that a perfect pair can change a life. An Anti-Aging LED Mask with 8 (NIR + 7) wavelengths and extra LEDs in the forehead diamond, serves all skin needs, tackling everything from fine lines and pigmentation to blemishes and dullness. Combine the lightweight, wire-free LED mask with the FAQ™ Red Light Peptide Serum, an all-in-one antioxidant-rich serum with Peptides, Sea Daffodil, HA, Green Tea & Cica.",FAQ™ 202 plus Pre-order,"El paquete definitivo de la mejor compra demuestra que un dúo perfecto puede cambiar una vida. Una Mascarilla LED Antienvejecimiento con 8 (NIR + 7) longitudes de onda y LEDs adicionales en el diamante frontal, satisface todas las necesidades de la piel, abordando desde líneas finas y pigmentación hasta imperfecciones y opacidad. Combina la mascarilla LED ligera y sin cables con el sérum FAQ™ Red Light Peptide, un sérum todo en uno rico en antioxid",0.3682
Clinically proven to improve firmness and elasticity and reduce wrinkles by 32% in just 2 weeks.,"El pack definitivo y más rentable demuestra que una pareja perfecta puede cambiar tu vida. Una máscara LED antiedad con 8 longitudes de onda (NIR + 7) y LEDs extra en el diamante de la frente, que cubre todas las necesidades de la piel, tratando desde líneas finas y pigmentación hasta imperfecciones y falta de luminosidad. Combina esta ligera máscara LED sin cables con el sérum FAQ™ Red Light Peptide, un sérum todo en uno rico en antioxidantes con péptidos, Narciso Marino, ácido hialurónico, té verde y cica.",Clinicamente comprobado para mejorar la firmeza y elasticidad y reducir las arrugas en un 32% en solo 2 semanas.,0.5333
"50% stronger lights, better eye area penetration, and 9 additional LEDs to fade mid-brow frown lines",Está clínicamente probado que mejora la firmeza y elasticidad y reduce las arrugas un 32 % en solo 2 semanas.,"Luces un 50% más potentes, mejor penetración en el área ocular y 9 LEDs adicionales para atenuar las líneas de expresión del entrecejo.",0.6076
Reduces acne by 48% and sebum by 18% in just 2 weeks.,"Luces LED un 50 % más potentes, mejor penetración en el área de los ojos y 9 LEDs adicionales para atenuar las líneas del ceño medio.",Reduce el acné en un 48% y el sebo en un 18% en tan solo 2 semanas.,0.4986
634 points of light with extra forehead LEDs ensure even light coverage.,Reduce el acné un 48 % y el sebo un 18 % en solo 2 semanas.,634 puntos de luz con LEDs adicionales en la frente garantizan una cobertura de luz uniforme.,0.4407
"Collagen-boosting Peptides, brightening Sea Daffodil, hydrating HA, soothing Green Tea & Cica.",634 puntos de luz con LEDs extra en la frente aseguran una cobertura uniforme.,"Péptidos que estimulan el colágeno, Caléndula Marina iluminadora, ácido hialurónico hidratante, té verde y cica calmantes.",0.4026
RELATED PRODUCTS,"Prepara y potencia la piel para optimizar el rendimiento de la LED y conseguir los mejores resultados, además de proteger la barrera cutánea.",PRODUCTOS RELACIONADOS,0.2943
FAQ™ 221,PRODUCTOS RELACIONADOS,FAQ™ 221,0.3577
FAQ™ Red Light Peptide Serum,FAQ™ 211,Serum de péptidos rojo para luces LED™. FAQ™,0.5029
FAQ™ vs Other LED Masks,FAQ™ Red Light Peptide Serum,FAQ™ vs Otros Mascarillas LED,0.4933
"Unlike other LED masks which only beam light on a few specific points on the face, FAQ™ LED masks spread light evenly across your skin via 600 optimized points of light.",FAQ™ vs. Otras Máscaras LED,"A diferencia de otras máscaras LED que solo proyectan luz en algunos puntos específicos del rostro, las máscaras LED FAQ™ distribuyen la luz uniformemente por tu piel a través de 600 puntos de luz optimizados.",0.6214
"Coupled with the flexi-fit aspect, this ensures that the LED wavelengths penetrate each millimeter of the skin - delivering the same effective treatment to all areas at the same time, no matter what your face shape.","A diferencia de otras máscaras LED que solo proyectan luz en unos pocos puntos específicos del rostro, las máscaras LED FAQ™ distribuyen la luz de manera uniforme sobre la piel mediante 600 puntos de luz optimizados. Combinado con el aspecto flexi fit, esto garantiza que las longitudes de onda LED penetren cada milímetro de la piel, ofreciendo el mismo tratamiento eficaz en todas las áreas al mismo tiempo, sin importar la forma de tu rostro.","Añadido a la característica de ajuste flexible, esto garantiza que las longitudes de onda LED penetren cada milímetro de la piel, proporcionando el mismo tratamiento eficaz a todas las áreas al mismo tiempo, sin importar la forma de tu rostro.",0.7605
Turn on,Enciende,Encender,0.6513
"Enjoy your LED facial for up to 15 mins, while you continue with your day - for multitasking at its best. Once finished, press the universal button for 3 seconds to turn off your mask.","Disfruta de un tratamiento LED facial 15 minutos, mientras continúas con tu vida diaria (multitarea en su máxima expresión). Cuando finalice el tratamiento, mantén pulsado el botón central 3 segundos para apagar tu máscara.","Disfruta de tu facial LED durante hasta 15 minutos, mientras continúas con tu día, para el máximo multitarea. Una vez terminado, pulsa el botón universal durante 3 segundos para apagar la mascarilla.",0.7712
"Sustainable Premium quality & a product life of years, with no replacement parts required. Ever.",Sostenible Un producto de calidad superior que durará muchos años y no requerirá partes remplazables.,"Calidad superior sostenible y una vida útil del producto de años, sin necesidad de piezas de repuesto. Nunca.",0.789
YOU MAY ALSO LIKE,TAMBIÉN TE PUEDE GUSTAR,También te puede gustar.,0.4721
Built to go deeper. Red light evolved.,Diseñado para llegar más profundo en la piel. Luz roja evolucionada.,Construido para ir más profundo. Luz roja evolucionada.,0.7878
"Our bodies evolved to draw healing energy from the sun's red and near-infrared light - to fuel cellular function, support skin repair, and promote overall skin health. The problem is that the sun also exposes us to harmful UV and blue light, which can adversely cause skin aging, pigmentation, and DNA damage. So FAQ™ has engineered a revolutionary new device: a full-spectrum red light therapy device that mimics the full spectrum of the sun’s natural healing wavelengths - delivering both broad and narrow light wavelengths, while filtering out damaging UV and blue light. This isn’t just red light therapy. It’s the complete spectrum of skin rejuvenation.","Nuestros cuerpos han evolucionado para captar la energía reparadora de la luz roja y el infrarrojo cercano del sol, impulsando la función celular, favoreciendo la reparación de la piel y promoviendo su salud en general. El problema es que el sol también nos expone a radiaciones dañinas como los rayos UV y la luz azul, que pueden acelerar el envejecimiento cutáneo, causar pigmentación irregular y dañar el ADN. Por eso, FAQ™ ha desarrollado un dispositivo revolucionario: un equipo de terapia con luz roja de espectro completo que reproduce el espectro completo de las longitudes de onda naturales y reparadoras del sol, combinando luz roja de banda ancha y estrecha, y filtrando los rayos UV y la luz azul perjudiciales. Esto no es solo terapia con luz roja. Es el espectro completo del rejuvenecimiento cutáneo.","Nuestros cuerpos evolucionaron para obtener energía curativa de la luz roja y cercana al infrarrojo del sol, para alimentar la función celular, apoyar la reparación de la piel y promover la salud general de la piel. El problema es que el sol también nos expone a dañinas luces UV y azules, que pueden causar adversamente envejecimiento cutáneo, pigmentación y daño al ADN. Por lo tanto, FAQ™ ha diseñado un revolucionario nuevo dispositivo: un dispositivo de terapia de luz roja de espectro",0.7681
Minimizes wrinkles,Minimiza las arrugas,Minimiza arrugas,0.6399
Reduces redness,Reduce el enrojecimiento,Reduce la rojez.,0.5347
"Engineered to erase blemishes so you don’t have to cover them. Harnessing the power of full-spectrum red light energy, FAQ™ 502 goes beyond superficial treatments by targeting the root causes of skin damage at a cellular level. Whether you need help minimizing the appearance of fine lines & wrinkles, targeting pigmentation irregularities, or reducing texture & redness, this device visibly improves overall skin quality, and restores your complexion to its healthiest. This isn’t just red light therapy. It’s the complete spectrum of skin rejuvenation.","Engineered to erase blemishes so you don’t have to cover them. Harnessing the power of full-spectrum red light energy, FAQ™ 502 goes beyond superficial treatments by targeting the root causes of skin damage at a cellular level. Whether you need help minimizing the appearance of fine lines & wrinkles, targeting pigmentation irregularities, or reducing texture & redness, this device visibly improves overall skin quality, and restores your complexion to its healthiest. This isn’t just red light therapy. It’s the complete spectrum of skin rejuvenation.","Diseñado para eliminar imperfecciones para que no tengas que cubrirlas. Aprovechando la potencia de la energía de luz roja de espectro completo, FAQ™ 502 va más allá de los tratamientos superficiales al atacar las causas raíz del daño cutáneo a nivel celular. Ya sea que necesites ayuda para minimizar el aspecto de las líneas finas y arrugas, tratar las irregularidades de pigmentación o reducir la textura y el enrojecimiento, este dispositivo mejora visiblemente la calidad general de la",0.7128
Full-spectrum red light energy: mimics the sun’s natural healing wavelengths - broad & narrow red light (without harmful UV or blue light).,Full-spectrum red light energy: mimics the sun’s natural healing wavelengths - broad & narrow red light (without harmful UV or blue light).,Energía de luz roja de espectro completo: imita los longitudes de onda curativas naturales del sol - luz roja ancha y estrecha (sin luz ultravioleta o azul dañina).,0.7155
"Multi-depth skin targeting: Broad-spectrum pulsed light reaches mid-to-deep dermal layers, while narrow LED wavelengths are absorbed at precise depths, to targer skin across all layers.","Multi-depth skin targeting: Broad-spectrum pulsed light reaches mid-to-deep dermal layers, while narrow LED wavelengths are absorbed at precise depths, to targer skin across all layers.","Multi-profundidad de acción en la piel: La luz pulsada de amplio espectro alcanza las capas dermales medias y profundas, mientras que los estrechos espectros LED se absorben a profundidades precisas, para tratar la piel en todas las capas.",0.7243
"Clinically-proven wavelengths: Pulsed light (590 - 1200 nm) promotes overall skin rejuvenation by addressing pigmentation issues (age spots, melasma), redness (rosacea) & minor scarring.","Clinically-proven wavelengths: Pulsed light (590 - 1200 nm) promotes overall skin rejuvenation by addressing pigmentation issues (age spots, melasma), redness (rosacea) & minor scarring.","Ondas de longitud clínicamente probadas: La luz pulsada (590-1200 nm) promueve la rejuvenecimiento cutáneo general al abordar problemas de pigmentación (manchas solares, melasma), enrojecimiento (rosácea) y cicatrices menores.",0.7679
"Smart Swedish design: Full face & neck treatment takes just 2 mins. 5 customizable intensities, up to 4.4 J/cm², up to 10 flashes per second.","Smart Swedish design: Full face & neck treatment takes just 2 mins. 5 customizable intensities, up to 4.4 J/cm², up to 10 flashes per second.","Diseño inteligente sueco: el tratamiento facial y de cuello completo solo toma 2 minutos. 5 intensidades personalizables, hasta 4,4 J/cm², hasta 10 destellos por segundo.",0.7702
Protective Glasses,Protective Glasses,Gafas de protección,0.7536
Glasses Pouch & Cleaning Cloth,Glasses Pouch & Cleaning Cloth,Bolsillo para gafas y paño de limpieza,0.6799
"Smoother, more balanced skin - in a flash. FAQ™ 501 helps with skin concerns such as uneven skin tone, fine lines & the appearance of blemishes, working to refine your skin’s texture over time. An easy & effective way to refresh your skin & support a youthful-looking complexion.","Smoother, more balanced skin - in a flash. FAQ™ 501 helps with skin concerns such as uneven skin tone, fine lines & the appearance of blemishes, working to refine your skin’s texture over time. An easy & effective way to refresh your skin & support a youthful-looking complexion.","Piel más suave y equilibrada - en un instante. FAQ™ 501 ayuda con las preocupaciones de la piel como el tono irregular, las líneas finas y la apariencia de imperfecciones, trabajando para refinar la textura de tu piel con el tiempo. Una forma fácil y efectiva de refrescar tu piel y apoyar un cutis juvenil.",0.7457
"Multi-depth skin targeting: Broad-spectrum pulsed light reaches mid-to-deep dermal layers, while narrow red LED is absorbed at a precise depth - targeting skin across all layers.","Multi-depth skin targeting: Broad-spectrum pulsed light reaches mid-to-deep dermal layers, while narrow red LED is absorbed at a precise depth - targeting skin across all layers.","Multi-profundidad de enfoque en la piel: La luz pulsada de amplio espectro alcanza las capas dérmicas medias y profundas, mientras que el LED rojo estrecho se absorbe a una profundidad precisa, abordando la piel en todas sus capas.",0.7403
"Smart Swedish design: Full face & neck treatment takes just 2 mins. 5 customizable intensities, up to 3.9 J/cm², up to 7 flashes per second.","Smart Swedish design: Full face & neck treatment takes just 2 mins. 5 customizable intensities, up to 3.9 J/cm², up to 7 flashes per second.","Diseño inteligente sueco: tratamiento facial y de cuello completo en solo 2 minutos. 5 intensidades personalizables, hasta 3,9 J/cm², hasta 7 destellos por segundo.",0.7696
FAQ™ 501 device,FAQ™ 501 device,Preguntas Frecuentes™ dispositivo 501,0.6963
FAQ™ Red Light Peptide Serum,FAQ™ Red Light Peptide Serum,FAQ™ Suero de péptidos luz roja,0.5954
The power of healing sunlight in a device,"Toda la fuerza del sol para cuidar tu piel, en un solo dispositivo",El poder del sol terapéutico en un dispositivo,0.706
SKINCARE,COSMÉTICOS,CUIDADO DE LA PIEL,0.6431
SUPERCHARGED™ Serum 2.0,SUPERCHARGED™ Serum 2.0,Suero Súpercargado™ 2.0,0.6962
More than skincare. A statement piece.,Esto es más que cuidado de la piel: es un accesorio único.,Más que cuidado de la piel. Una pieza de declaración.,0.6866
3 steps for a face that can face anything,Reinventa tu rutina en tres pasos profesionales,3 pasos para una cara que puede enfrentarse a cualquier cosa,0.5862
"Your skin wants to breathe. To glow. To be firm. The good news is: getting pro-level results is now easier than ever. You can do it anytime, anywhere. Effortlessly. So forget about spending at least an hour at a beauty salon. Check out these 4 products used for a 6-minute routine recommended by Vogue.","Deja a tu piel respirar, tonifícala de forma natural, y dale luminosidad gracias a las luces LED y al ritual con mascarilla facial. Disfruta de resultados profesionales sin importar donde estés. Es tan sencillo como leer la rutina de 6 minutos recomendada por Vogue.",Tu piel quiere respirar. Brillar. Estar firme. La buena noticia es: obtener resultados de nivel profesional ahora es más fácil que nunca. Puedes hacerlo en cualquier momento y lugar. Sin esfuerzo. Así que olvida pasar al menos una hora en un salón de belleza. Echa un vistazo a estos 4 productos utilizados para una rutina de 6 minutos recomendada por Vogue.,0.7756
LOVED BY CELEBRITIES,LAS CELEBRITIES LO ADORAN,QUERIDO POR LAS PERSONALIDADES,0.5631
"...when I use the LUNA™ mini 2 and put on my cleanser, before I even take a shower, it just brings the blood supply to my skin, and you know...it just helps everything settle faster in the morning.","...cuando uso LUNA™ mini 2 con mi limpiador facial antes de ducharme estimulo la circulación sanguínea de mi piel, y lo cierto es que me ayuda a comenzar bien el día.","...cuando uso la LUNA™ mini 2 y pongo mi limpiador, antes incluso de ducharme, simplemente trae el suministro sanguíneo a mi piel, y ya sabes...solo ayuda a que todo se calme más rápido por la mañana.",0.7373
"When my eyes get puffy, I pull out my FOREO IRIS™ massager — it mimics the tapping used in traditional Asian skin care. It looks like a vibrator, so I call it my 'eyebrator.'","Cuando siento mis ojos hinchados, uso el masajeador FOREO IRIS™ . Este masajeador imita el masaje de presión tradicional asiático utilizado en el cuidado de la piel. Parece un vibrador, así que lo puedes considerar un 'vibrador para los ojos'.","Cuando mis ojos se me hinchan, saco mi masajeador FOREO IRIS™ — imita los toques usados en el cuidado tradicional de la piel asiática. Se parece a un vibrador, así que lo llamo mi 'ojovibrator'.",0.7757
"It takes 90 seconds and it will immediately make your skin look and feel phenomenal, exactly the same effect as if you've just had a super luxurious facial.","Sólo necesitas 90 segundos para que tu piel luzca y se sienta fenomenal, con exactamente el mismo efecto que una visita a un spa de lujo.","Tarda 90 segundos y hará que tu piel se vea y sienta fenomenal, exactamente el mismo efecto que si acabas de tener una facial súper lujosa.",0.7803
"I hate it when they put vaseline on my face for boxing, so afterwards I cleanse with my FOREO and Dr Barbara Sturm cleanser, which gets rid of all the dirt from the fight, too.","Odio ponerme vaselina en mi rostro para boxear, así que al finalizar limpio mi piel con FOREO y el limpiador Dr Barbara Sturm para eliminar toda la suciedad del combate.","Odio cuando me ponen vaselina en la cara para el boxeo, así que después me limpio con mi FOREO y limpiador de Dr. Barbara Sturm, que también se deshace de toda la suciedad de la pelea.",0.7921
250+ AWARDS,MÁS DE 250 GALARDONES,Más de 250 premios,0.7309
Fewer wrinkles. In just 1 week.,Reafirma y tonifica. En 1 semana.,Menos arrugas. En tan solo 1 semana.,0.7559
Seriously. We've got the clinicals to back it up.,El primer dispositivo del mundo con 4 modos de microcorrientes.,En serio. Tenemos los datos clínicos que lo respaldan.,0.5298
That's right. We just hacked aging.,Así es. Hemos descifrado el envejecimiento.,Eso es correcto. Acabo de pirateado la edad.,0.4369
You absolutely must own this,El dispositivo que debes tener,Tienes que tenerlo absolutamente.,0.5985
LET’S GET IN TOUCH,CONECTA CON NOSOTROS,¡CONTÁCTANOS!,0.7786
Behind our global presence is a simple idea: to help millions of people feel great in their own skin. By getting professional results without leaving home.,"Detrás de cualquier éxito, hay una historia. La nuestra empezó con la idea de mejorar el cuidado personal, y ahora ayudamos a millones de personas a sentirse y verse mejor.",Detrás de nuestra presencia global hay una simple idea: ayudar a millones de personas a sentirse bien en su propia piel. Al obtener resultados profesionales sin salir de casa.,0.7257
Fresh & radiant. Smooth & soft. Firm & healthy.,El LUNATM más suave y potente jamás creado,Fresco y radiante. Suave y suave. Firme y saludable.,0.4545
Swedish facial cleanse with clinically proven results.,La forma más higiénica de limpiar tu piel.,Limpieza facial sueca con resultados clínicamente probados.,0.6966
"Meet cutting-edge technology that’s designed to give you a deep in-pore cleanse. Remove 99% of dirt, oil and makeup residue. Boost circulation and collagen. Promote lymphatic drainage. Reduce puffiness. Improve absorption of active ingredients. And enjoy skin firming T-Sonic™ massages with your LUNA™ 4.","¿Sabías que tu piel acumula más de 4 kilos de suciedad y células muertas de la piel en un año? Limpiar tu piel con las manos es mucho menos eficaz de lo que piensas. Por eso hemos creado un dispositivo de limpieza facial 2 en 1 que elimina el 99% de suciedad, grasa y restos de maquillaje, y lo hemos probado clínicamente.","Conoce la tecnología de vanguardia diseñada para ofrecerte una limpieza profunda en los poros. Elimina el 99% de la suciedad, el aceite y los residuos de maquillaje. Estimula la circulación y el colágeno. Promueve el drenaje linfático. Reduce la hinchazón. Mejora la absorción de los ingredientes activos. Y disfruta de masajes T-Sonic™ tonificantes con tu LUNA™ 4.",0.675
Say goodbye to ineffective skincare routines and embrace the award-winning LUNA™ 4 brush for the softest deep cleanse of your life.,"Te ofrece una limpieza personalizada basada en el tipo de piel y las zonas con problemas. Además, reafirma tu piel con masajes guiados que tonifican zonas específicas de tu rostro y cuello. Suave. Eficaz. Indispensable.",Adiós a las rutinas de cuidado de la piel ineficaces y abraza el cepillo LUNA™ 4 galardonado para una limpieza profunda más suave que nunca.,0.6182
Clinical-consumer results,Resultados clínicos,Resultados clínico-consumidor,0.7247
Clinically proven to remove,Clínicamente eliminan el,Clinicamente comprobado para eliminar,0.7159
of users report better absorption of skincare products.,declaró sentir una mayor absorción de los productos de cuidado facial.,De usuarios informan una mejor absorción de productos para el cuidado de la piel.,0.7931
of users report reduced appearance of blemishes.,declaró una reducción de imperfecciones.,De los usuarios informan una reducción en la apariencia de manchas.,0.6172
"Are you ready to experience the gentlest and most effective cleanse of your life? LUNA™ 4 removes 99% of dirt, oil and makeup residue while promoting circulation, lymphatic drainage and absorption of active ingredients - all thanks to T-Sonic™ pulsations. Personalize the device to your skin needs, and enjoy video-guided skin firming massages via the app to enjoy a premium skincare experience whenever you want. Because you deserve a routine as unique as your skin.","¿Sabías que tu piel acumula más de 4 kilos de suciedad y células muertas en un año? Limpiar tu rostro con las manos no es muy eficaz. Por eso, hemos creado un dispositivo de limpieza facial 2 en 1 que elimina el 99% de suciedad, grasa y restos de maquillaje, y lo hemos probado clínicamente.","¿Estás listo para experimentar la limpieza más suave y eficaz de tu vida? LUNA™ 4 elimina el 99% de la suciedad, el aceite y los residuos de maquillaje mientras promueve la circulación, el drenaje linfático y la absorción de ingredientes activos, todo gracias a las pulsaciones T-Sonic™. Personaliza el dispositivo según las necesidades de tu piel y disfruta de masajes faciales reafirmantes guiados por video a través de la aplicación para disfrutar de una experiencia premium",0.7223
100% of users report more refreshed & radiant skin.,35 veces más higiénico que los cepillos con filamentos de nylon.,El 100% de los usuarios reportan una piel más fresca y radiante.,0.6124
98% of users experience better absorption of skincare products.,El 96% de usuarios declaró sentir la piel más sana. El 81% una reducción de imperfecciones.,El 98% de los usuarios experimentan una mejor absorción de los productos para el cuidado de la piel.,0.7904
"Tailored cleanse with Gentle, Regular and Deep Cleanse modes.",El 86% de los usuarios declaró sentir la piel más firme y elástica.,"Limpieza personalizada con modos Suave, Regular y Profundo.",0.4248
Travel pouch,Bolsa de transporte,Bolsillo de viaje,0.7126
Boosts circulation - eyes & jaw.,Potencia la microcirculación - ojos y mandíbula.,Aumenta la circulación - ojos y mandíbula.,0.7834
Trigger Point Massage Relieves muscle tightness - neck.,Masaje de puntos gatillo Calma la tensión muscular - cuello.,Masaje de Puntos de Disparo Alivia la rigidez muscular - cuello.,0.6718
Shiatsu Massage Promotes calm - forehead & temples.,Masaje Shiatsu Favorece la relajación - frente y sien.,Masaje Shiatsu Promueve la calma - frente y templos.,0.6224
Promotes calm - forehead & temples.,Favorece la relajación - frente y sien.,Promueve la calma - frente y templos.,0.458
Restores energy - eyebrows & ears.,Restaura la energía - pestañas y oídos.,Restaura energía - cejas y orejas.,0.7607
Firm,Reafirma,Empresa,0.5935
One-time investment,Una inversión para siempre,Inversión única,0.7581
PRESS LOVES IT,PRESS LOVES IT,LOS MEDIOS LO AMAN,0.7132
