english,spanish,endpoint
France Delivery estimate: 15/10/25,Francia Entrega prevista 15/10/25,black-friday-preregistration
Germany Delivery estimate: 15/10/25,Alemania Entrega prevista 15/10/25,black-friday-preregistration
Canada Delivery estimate: 19/10/25,Canadá Entrega prevista 19/10/25,black-friday-preregistration
Australia Delivery estimate: 18/10/25,Australia Entrega prevista 18/10/25,black-friday-preregistration
Austria Delivery estimate: 15/10/25,Austria Entrega prevista 15/10/25,black-friday-preregistration
Bahrain Delivery estimate: 16/10/25,Baréin Entrega prevista 16/10/25,black-friday-preregistration
Belgium Delivery estimate: 15/10/25,Bélgica Entrega prevista 15/10/25,black-friday-preregistration
Bermuda Delivery estimate: 21/10/25,Bermudas Entrega prevista 21/10/25,black-friday-preregistration
Bosnia & Herzegovina Delivery estimate: 18/10/25,Bosnia y Herzegovina Entrega prevista 18/10/25,black-friday-preregistration
Brunei Delivery estimate: 20/10/25,Brunéi Entrega prevista 20/10/25,black-friday-preregistration
Bulgaria Delivery estimate: 15/10/25,Bulgaria Entrega prevista 15/10/25,black-friday-preregistration
Canada Delivery estimate: 19/10/25,Canadá Entrega prevista 19/10/25,black-friday-preregistration
Chile Delivery estimate: 19/10/25,Chile Entrega prevista 19/10/25,black-friday-preregistration
China Delivery estimate: 15/10/25,China Entrega prevista 15/10/25,black-friday-preregistration
Colombia Delivery estimate: 19/10/25,Colombia Entrega prevista 19/10/25,black-friday-preregistration
Croatia Delivery estimate: 15/10/25,Croacia Entrega prevista 15/10/25,black-friday-preregistration
Cyprus Delivery estimate: 16/10/25,Chipre Entrega prevista 16/10/25,black-friday-preregistration
Czechia Delivery estimate: 15/10/25,Chequia Entrega prevista 15/10/25,black-friday-preregistration
Denmark Delivery estimate: 15/10/25,Dinamarca Entrega prevista 15/10/25,black-friday-preregistration
Estonia Delivery estimate: 15/10/25,Estonia Entrega prevista 15/10/25,black-friday-preregistration
Finland Delivery estimate: 15/10/25,Finlandia Entrega prevista 15/10/25,black-friday-preregistration
France Delivery estimate: 15/10/25,Francia Entrega prevista 15/10/25,black-friday-preregistration
French Polynesia Delivery estimate: 19/10/25,Polinesia Francesa Entrega prevista 19/10/25,black-friday-preregistration
Germany Delivery estimate: 15/10/25,Alemania Entrega prevista 15/10/25,black-friday-preregistration
Gibraltar Delivery estimate: 19/10/25,Gibraltar Entrega prevista 19/10/25,black-friday-preregistration
Greece Delivery estimate: 15/10/25,Grecia Entrega prevista 15/10/25,black-friday-preregistration
Hong Kong SAR China Delivery estimate: 16/10/25,RAE de Hong Kong (China) Entrega prevista 16/10/25,black-friday-preregistration
Hungary Delivery estimate: 15/10/25,Hungría Entrega prevista 15/10/25,black-friday-preregistration
Iceland Delivery estimate: 16/10/25,Islandia Entrega prevista 16/10/25,black-friday-preregistration
Ireland Delivery estimate: 15/10/25,Irlanda Entrega prevista 15/10/25,black-friday-preregistration
Isle of Man Delivery estimate: 17/10/25,Isla de Man Entrega prevista 17/10/25,black-friday-preregistration
Israel Delivery estimate: 19/10/25,Israel Entrega prevista 19/10/25,black-friday-preregistration
Italy Delivery estimate: 15/10/25,Italia Entrega prevista 15/10/25,black-friday-preregistration
Japan Delivery estimate: 18/10/25,Japón Entrega prevista 18/10/25,black-friday-preregistration
Jersey Delivery estimate: 20/10/25,Jersey Entrega prevista 20/10/25,black-friday-preregistration
Kazakhstan Delivery estimate: 17/10/25,Kazajistán Entrega prevista 17/10/25,black-friday-preregistration
Kuwait Delivery estimate: 15/10/25,Kuwait Entrega prevista 15/10/25,black-friday-preregistration
Latvia Delivery estimate: 15/10/25,Letonia Entrega prevista 15/10/25,black-friday-preregistration
Lebanon Delivery estimate: 16/10/25,Líbano Entrega prevista 16/10/25,black-friday-preregistration
Lithuania Delivery estimate: 15/10/25,Lituania Entrega prevista 15/10/25,black-friday-preregistration
Luxembourg Delivery estimate: 15/10/25,Luxemburgo Entrega prevista 15/10/25,black-friday-preregistration
Macao SAR China Delivery estimate: 17/10/25,RAE de Macao (China) Entrega prevista 17/10/25,black-friday-preregistration
Malaysia Delivery estimate: 18/10/25,Malasia Entrega prevista 18/10/25,black-friday-preregistration
Malta Delivery estimate: 15/10/25,Malta Entrega prevista 15/10/25,black-friday-preregistration
Mexico Delivery estimate: 19/10/25,México Entrega prevista 19/10/25,black-friday-preregistration
Monaco Delivery estimate: 16/10/25,Mónaco Entrega prevista 16/10/25,black-friday-preregistration
Netherlands Delivery estimate: 15/10/25,Países Bajos Entrega prevista 15/10/25,black-friday-preregistration
New Zealand Delivery estimate: 15/10/25,Nueva Zelanda Entrega prevista 15/10/25,black-friday-preregistration
Norway Delivery estimate: 15/10/25,Noruega Entrega prevista 15/10/25,black-friday-preregistration
Oman Delivery estimate: 18/10/25,Omán Entrega prevista 18/10/25,black-friday-preregistration
Peru Delivery estimate: 19/10/25,Perú Entrega prevista 19/10/25,black-friday-preregistration
Philippines Delivery estimate: 18/10/25,Filipinas Entrega prevista 18/10/25,black-friday-preregistration
Poland Delivery estimate: 16/10/25,Polonia Entrega prevista 16/10/25,black-friday-preregistration
Portugal Delivery estimate: 15/10/25,Portugal Entrega prevista 15/10/25,black-friday-preregistration
Puerto Rico Delivery estimate: 17/10/25,Puerto Rico Entrega prevista 17/10/25,black-friday-preregistration
Qatar Delivery estimate: 16/10/25,Catar Entrega prevista 16/10/25,black-friday-preregistration
Réunion Delivery estimate: 20/10/25,Reunión Entrega prevista 20/10/25,black-friday-preregistration
Romania Delivery estimate: 15/10/25,Rumanía Entrega prevista 15/10/25,black-friday-preregistration
Russia Delivery estimate: 23/10/25,Rusia Entrega prevista 23/10/25,black-friday-preregistration
Saudi Arabia Delivery estimate: 16/10/25,Arabia Saudí Entrega prevista 16/10/25,black-friday-preregistration
Singapore Delivery estimate: 17/10/25,Singapur Entrega prevista 17/10/25,black-friday-preregistration
Slovakia Delivery estimate: 15/10/25,Eslovaquia Entrega prevista 15/10/25,black-friday-preregistration
Slovenia Delivery estimate: 15/10/25,Eslovenia Entrega prevista 15/10/25,black-friday-preregistration
South Africa Delivery estimate: 23/10/25,Sudáfrica Entrega prevista 23/10/25,black-friday-preregistration
South Korea Delivery estimate: 17/10/25,Corea del Sur Entrega prevista 17/10/25,black-friday-preregistration
Spain Delivery estimate: 15/10/25,España Entrega prevista 15/10/25,black-friday-preregistration
Sweden Delivery estimate: 15/10/25,Suecia Entrega prevista 15/10/25,black-friday-preregistration
Switzerland Delivery estimate: 15/10/25,Suiza Entrega prevista 15/10/25,black-friday-preregistration
Taiwan Delivery estimate: 20/10/25,Taiwán Entrega prevista 20/10/25,black-friday-preregistration
Thailand Delivery estimate: 19/10/25,Tailandia Entrega prevista 19/10/25,black-friday-preregistration
Türkiye Delivery estimate: 16/10/25,Turquía Entrega prevista 16/10/25,black-friday-preregistration
United Arab Emirates Delivery estimate: 16/10/25,Emiratos Árabes Unidos Entrega prevista 16/10/25,black-friday-preregistration
United Kingdom Delivery estimate: 15/10/25,Reino Unido Entrega prevista 15/10/25,black-friday-preregistration
United States Delivery estimate: 16/10/25,Estados Unidos Entrega prevista 16/10/25,black-friday-preregistration
Uzbekistan Delivery estimate: 20/10/25,Uzbekistán Entrega prevista 20/10/25,black-friday-preregistration
Vietnam Delivery estimate: 21/10/25,Vietnam Entrega prevista 21/10/25,black-friday-preregistration
Love beauty innovation?,Consigue ofertas exclusivas,black-friday-preregistration
Subscribe and get 10% off your first order!,Suscríbete y consigue un 10% de descuento en tu primer pedido.,black-friday-preregistration
"By subscribing, I agree to receive marketing communications from FOREO. I understand that I can unsubscribe at any time.",Acepto recibir comunicaciones comerciales de FOREO y entiendo que puedo darme de baja en cualquier momento.,black-friday-preregistration
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.,Este sitio está protegido por reCAPTCHA y se aplica la Política de privacidad y las Condiciones del servicio de Google.,black-friday-preregistration
Help,Ayuda,black-friday-preregistration
Contact us,Contáctanos,black-friday-preregistration
Orders & Shipping,Pedidos y envíos,black-friday-preregistration
Warranty & Returns,Garantía y devoluciones,black-friday-preregistration
Frequently asked questions,Preguntas frecuentes,black-friday-preregistration
Follow us,Síguenos,black-friday-preregistration
Instagram,Instagram,black-friday-preregistration
Facebook,Facebook,black-friday-preregistration
X,X,black-friday-preregistration
YouTube,YouTube,black-friday-preregistration
LinkedIn,LinkedIn,black-friday-preregistration
Pinterest,Pinterest,black-friday-preregistration
TikTok,TikTok,black-friday-preregistration
My account,Mi cuenta,black-friday-preregistration
Product registration,Registro de productos,black-friday-preregistration
Support,Ayuda,black-friday-preregistration
Company,Empresa,black-friday-preregistration
About,Sobre FOREO,black-friday-preregistration
Affiliate program,Afiliados,black-friday-preregistration
AI & Affiliate News,Noticias de afiliados,black-friday-preregistration
Become a partner,Asociados,black-friday-preregistration
Terms of use,Términos y condiciones,black-friday-preregistration
Privacy policy,Aviso de privacidad,black-friday-preregistration
100% secure payment,Pago 100% seguro,black-friday-preregistration
Reviews by Bazaarvoice,Reseñas de Bazaarvoice,black-friday-preregistration
© 2025 FOREO All rights reserved,© 2025 FOREO Todos los derechos reservados,black-friday-preregistration
100% secure payment,Pago 100% seguro,black-friday-preregistration
Reviews by Bazaarvoice,Reseñas de Bazaarvoice,black-friday-preregistration
© 2025 FOREO All rights reserved,© 2025 FOREO Todos los derechos reservados,black-friday-preregistration
"Oh, your cart is empty.","Oh, tu cesta está vacía.",black-friday-preregistration
Explore our exciting products.,Descubre nuestros increíbles productos..,black-friday-preregistration
Facial cleansing,Limpieza facial,black-friday-preregistration
Facelift,Lifting facial,black-friday-preregistration
Hydration,Hidratación,black-friday-preregistration
Oral care,Cuidado bucal,black-friday-preregistration
This website uses cookies,Esta página web usa cookies,faq-swiss-202
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad .",faq-swiss-202
Necessary,Necesario,faq-swiss-202
Preferences,Preferencias,faq-swiss-202
Statistics,Estadística,faq-swiss-202
Marketing,Marketing,faq-swiss-202
Anti-Aging LED Face Mask,Máscara Facial LED Antiedad,faq-swiss-202
Pre-order & get two FAQ™ Red Light Peptide Serums.,Reserva ahora y consigue dos FAQ™ Red Light Peptide Serums de regalo.,faq-swiss-202
Near infrared & red light therapy LED face mask,Reafirma. Rejuvenece. Repara.,faq-swiss-202
Reduce wrinkles by 32% in just 2 weeks.,Una nueva generación de máscara LED.,faq-swiss-202
"Ultra-lightweight, wireless, and made with flexi-fit silicone, FAQ™ 202 LED light therapy mask is an entirely new generation of LED mask with red light therapy. Featuring 8 different wavelengths, including near-infrared, this mask boosts collagen and tackles wrinkles, age spots, dullness, uneven tone, and texture. Walk around freely while enjoying the benefits of red light therapy.","Las máscara LED faciales de silicona FAQ™ 200 son ultraligeras, inalámbricas y se adaptan a tu rostro como una segunda piel transparente para cubrirlo de forma uniforme. La terapia LED potencia la producción de colágeno para fortalecer las diferentes capas de la piel, y estimula su proceso de curación natural. Mientras, podrás moverte libremente y seguir con tu día a día.",faq-swiss-202
Experience spa-level LED facial treatments at the push of a button. And combine with FAQ™ 102 for the perfect Swiss Anti-aging routine.,Combina con un dispositivo FAQ™ 100 para la perfecta rutina antiedad suiza.,faq-swiss-202
Red light therapy,Tecnología LED antiedad,faq-swiss-202
Red LED light helps to improve fine lines by stimulating collagen and elastin production - which are essential for maintaining youthfully firm and plump skin.,"Las 8 ondas de luz LED tratan todo tipo de problemas de la piel, como las arrugas, la pigmentación, las imperfecciones o el tono apagado. Descubre a continuación los resultados clínicos.",faq-swiss-202
600 LED light points,Cobertura de luz uniforme,faq-swiss-202
FAQ™ 202 LED light therapy mask spread light evenly across your skin via 600 LED light points - ensuring the LED wavelengths evenly penetrate each millimeter of skin. 100% of users agree.,"La máscara LED FAQ™ 202 distribuye la luz uniformemente por la piel a través de 600 puntos optimizados de luz, lo que garantiza que las ondas LED penetren de forma uniforme en cada milímetro de la piel. El 100% de los usuarios están de acuerdo.",faq-swiss-202
Real results,Resultados reales,faq-swiss-202
100%,100%,faq-swiss-202
of users report FAQ™ 202 fits their face perfectly.,de los usuarios declaró que FAQ™ 202 se adaptó perfectamente a su rostro.,faq-swiss-202
100%,100%,faq-swiss-202
of users would recommend FAQ™ 202 to a friend.,de los usuarios recomendaría FAQ™ 202 a un amigo.,faq-swiss-202
Perfectly fits every face,Se adapta a la perfección a cualquier rostro,faq-swiss-202
"Designed with unique flexi-fit silicone, FAQ™ 202 LED light therapy mask molds to your face like a transparent second skin - so every area of your face receives the same concentration of LED light.","Diseñada con la exclusiva silicona flexi-fit, FAQ™ 202 se adapta a tu rostro como si fuera una segunda piel transparente. De esta forma, toda tu piel recibe la misma concentración de luz LED.",faq-swiss-202
Complete freedom of movement,Libertad completa de movimiento,faq-swiss-202
"Ultra-lightweight, transparent and wireless, with an open eye and mouth design, and soft non-slip headband, FAQ™ 202 LED light therapy mask is unobtrusive and extremely comfortable to move around in while continuing with your day. 100% of users agree.","Ultraligera, inalámbrica y transparente, con abertura para los ojos y la boca y una cinta suave y antideslizante, FAQ™ 202 es una máscara discreta que te permite moverte cómodamente mientras continúas tu día. El 100% de los usuarios está de acuerdo.",faq-swiss-202
Pre-programmed treatments,Tratamientos preprogramados,faq-swiss-202
Get a 5 minute quick-fix or target specific skin concerns with thorough pre-set routines on the FAQ™ Swiss app.,"Disfruta de un tratamiento rápido de 5 minutos, un tratamiento calmante y reparador, o un tratamiento que combate problemas específicos de tu piel con las rutinas prediseñadas de la aplicación FAQ™ Swiss.",faq-swiss-202
Smart Swiss design,Diseño inteligente suizo,faq-swiss-202
"FAQ™ 202 LED light therapy mask is USB rechargeable, ultra-hygienic, non-porous, easy to clean, and quick-drying. It also comes with its own display case.","FAQ™ 202 es una máscara recargable por USB, ultrahigiénica, no porosa y fácil de limpiar y de secar. Incluye un soporte expositor.",faq-swiss-202
Red light therapy,Tecnología LED antiedad,faq-swiss-202
Red LED light helps to improve fine lines by stimulating collagen and elastin production - which are essential for maintaining youthfully firm and plump skin.,"Las 8 ondas de luz LED tratan todo tipo de problemas de la piel, como las arrugas, la pigmentación, las imperfecciones o el tono apagado. Descubre a continuación los resultados clínicos.",faq-swiss-202
600 LED light points,Cobertura de luz uniforme,faq-swiss-202
FAQ™ 202 LED light therapy mask spread light evenly across your skin via 600 LED light points - ensuring the LED wavelengths evenly penetrate each millimeter of skin. 100% of users agree.,"La máscara LED FAQ™ 202 distribuye la luz uniformemente por la piel a través de 600 puntos optimizados de luz, lo que garantiza que las ondas LED penetren de forma uniforme en cada milímetro de la piel. El 100% de los usuarios están de acuerdo.",faq-swiss-202
Perfectly fits every face,Se adapta a la perfección a cualquier rostro,faq-swiss-202
"Designed with unique flexi-fit silicone, FAQ™ 202 LED light therapy mask molds to your face like a transparent second skin - so every area of your face receives the same concentration of LED light.","Diseñada con la exclusiva silicona flexi-fit, FAQ™ 202 se adapta a tu rostro como si fuera una segunda piel transparente. De esta forma, toda tu piel recibe la misma concentración de luz LED.",faq-swiss-202
Complete freedom of movement,Libertad completa de movimiento,faq-swiss-202
"Ultra-lightweight, transparent and wireless, with an open eye and mouth design, and soft non-slip headband, FAQ™ 202 LED light therapy mask is unobtrusive and extremely comfortable to move around in while continuing with your day. 100% of users agree.","Ultraligera, inalámbrica y transparente, con abertura para los ojos y la boca y una cinta suave y antideslizante, FAQ™ 202 es una máscara discreta que te permite moverte cómodamente mientras continúas tu día. El 100% de los usuarios está de acuerdo.",faq-swiss-202
Pre-programmed treatments,Tratamientos preprogramados,faq-swiss-202
Get a 5 minute quick-fix or target specific skin concerns with thorough pre-set routines on the FAQTM Swiss app.,"Disfruta de un tratamiento rápido de 5 minutos, un tratamiento calmante y reparador, o un tratamiento que combate problemas específicos de tu piel con las rutinas prediseñadas de la aplicación FAQ™ Swiss.",faq-swiss-202
Smart Swiss design,Diseño inteligente suizo,faq-swiss-202
"FAQTM 202 LED light therapy mask is USB rechargeable, ultra-hygienic, non-porous, easy to clean, and quick-drying. It also comes with its own display case.","FAQ™ 202 es una máscara recargable por USB, ultrahigiénica, no porosa y fácil de limpiar y de secar. Incluye un soporte expositor.",faq-swiss-202
Clinical results,Resultados clínicos,faq-swiss-202
Reduces wrinkles by 32% in just 2 weeks.,Reduce las arrugas un 32% en sólo 2 semanas.,faq-swiss-202
Reduces wrinkles by,Reduce las arrugas un,faq-swiss-202
32%,32%,faq-swiss-202
in just 2 weeks.,en sólo 2 semanas.,faq-swiss-202
Significantly increases firmness.,Aumenta significativamente la firmeza de la piel.,faq-swiss-202
Significantly,Aumenta significativamente,faq-swiss-202
increases firmness.,la firmeza,faq-swiss-202
Significantly increases elasticity in just 2 weeks.,de la piel.,faq-swiss-202
Significantly,Aumenta significativamente la elasticidad de la piel en sólo 2 semanas.,faq-swiss-202
increases elasticity in just 2 weeks.,Aumenta significativamente,faq-swiss-202
Reduces acne by 48% in just 2 weeks.,la elasticidad,faq-swiss-202
Reduces acne by,de la piel en sólo 2 semanas.,faq-swiss-202
48%,Reduce el acné un 48% en sólo 2 semanas.,faq-swiss-202
in just 2 weeks.,Reduce el acné un,faq-swiss-202
Reduces sebum by 18% in just 2 weeks.,48%,faq-swiss-202
Reduces sebum by,en sólo 2 semanas.,faq-swiss-202
18%,Reduce la producción excesiva de sebo un 18% en tan sólo 2 semanas.,faq-swiss-202
in just 2 weeks.,Reduce la producción excesiva de sebo un,faq-swiss-202
What makes it so powerful,18%,faq-swiss-202
NIR (Near-infrared) LED light (854 nm),en tan sólo 2 semanas.,faq-swiss-202
Intended to stimulate the production of collagen & accelerate the repair of damaged skin cells.,¿Por qué es tan potente?,faq-swiss-202
Red LED light (637 nm),Luz NIR (infrarrojo cercano) (850 nm),faq-swiss-202
Intended to improve the appearance of wrinkles.,"Penetra más profundamente que la luz LED roja para potenciar los beneficios. Mejora la apariencia de las arrugas, las manchas de la edad y la flacidez.",faq-swiss-202
Blue LED light (465 nm),Luz LED roja (650 nm),faq-swiss-202
Intended to improve the appearance of mild to moderate inflammatory acne.,Favorece la producción de colágeno y elastina para combatir los signos de envejecimiento cutáneo. El resultado es una apariencia más joven.,faq-swiss-202
Green LED light (520 nm),Luz LED azul (420 nm),faq-swiss-202
Intended to brighten dull skin & even skin tone.,"Elimina el acné, reduce la apariencia de las imperfecciones y previene futuras erupciones cutáneas.",faq-swiss-202
Orange LED light (600 nm),Luz LED verde (519 nm),faq-swiss-202
Intended to improve skin texture.,Ilumina la piel y equilibra su tono.,faq-swiss-202
Yellow light (580 nm),Luz LED naranja (590 nm),faq-swiss-202
Intended to reduce the appearance of redness.,Revitaliza la piel y ayuda a mejorar su textura.,faq-swiss-202
Purple LED light (440 nm),Luz LED amarilla (570 nm),faq-swiss-202
Intended to improve hyperpigmentation.,Reduce la apariencia de las rojeces y calma la piel.,faq-swiss-202
Cyan LED light (485 nm),Luz LED morada (450 nm),faq-swiss-202
Intended to calm stressed skin.,Reduce la apariencia de las manchas de la edad y la hiperpigmentación.,faq-swiss-202
"* Green, Orange, Purple, Cyan, Yellow light are not intended to have a medical effect.",Luz LED cian (463 nm),faq-swiss-202
By popular demand,Calma y alivia la piel estresada.,faq-swiss-202
"The world’s best-selling wireless LED face mask, but upgraded to fit the needs of FAQ Swiss fans.","*Las luces verde, naranja, púrpura, cian y amarilla no están destinadas a tener un efecto médico.",faq-swiss-202
634 LED light points,Por demanda popular,faq-swiss-202
"An additional 9 LED bulbs in the forehead diamond to fade stubborn frown lines, and extra LED points.","La máscara facial LED inalámbrica más vendida del mundo, mejorada para las necesidades de los fans de FAQ Swiss.",faq-swiss-202
50% higher light intensity,634 puntos de luz LED,faq-swiss-202
"To treat the skin around the eyes more effectively, while still protecting it with a gold frame.","9 LEDs adicionales en el diamante de la frente para atenuar las arrugas rebeldes del ceño, más puntos LED extra.",faq-swiss-202
Clinically proven to:,50 % más de intensidad lumínica,faq-swiss-202
"Reduce wrinkles by 32%, acne by 48%, and sebum by 18%, and significantly increase elasticity in 2 weeks.","Para tratar mejor la piel alrededor de los ojos, protegiéndola con un marco dorado.",faq-swiss-202
FAQ™ 202,Clínicamente probado para:,faq-swiss-202
FAQ™ 202 Bundle,"Reducir arrugas un 32 %, acné un 48 % y sebo un 18 %, y aumentar significativamente la elasticidad en 2 semanas.",faq-swiss-202
FAQ™ 202 plus Pre-order,FAQ™ 202,faq-swiss-202
FAQ™ 202,FAQ™ 202 Bundle,faq-swiss-202
"Designed to perfectly fit your face for even light coverage, this ultra-lightweight and wireless face mask uses red light therapy to deliver anti-aging results – all while you walk around and get on with your day. Reduce wrinkles and tackle acne in just 2 weeks.",FAQ™ 202 plus Pre-order,faq-swiss-202
600 LED light points placed in optimal locations ensure even light coverage.,FAQ™ 202,faq-swiss-202
100% of users report FAQ™ 202 fits their face perfectly.,"Diseñada para adaptarse perfectamente a tu rostro y ofrecerte una cobertura de luz uniforme, esta máscara facial inalámbrica y ultraligera usa tecnologías clínicas para aportar resultados clínicos antiedad. Mientras la uses, podrás moverte con total libertad y continuar tu día. Reduce las arrugas y mejora la firmeza y elasticidad de la piel en sólo 2 semanas.",faq-swiss-202
"Ultra-lightweight, wireless & open eye design with non-slip headband make it easy to move around.","8 longitudes de ondas LED que combaten los signos avanzados de envejecimiento, la hiperpigmentación y la piel apagada.",faq-swiss-202
Pre-set treatments for specific skin concerns are available on the FAQ™ Swiss app.,600 puntos de luz perfectamente ubicados para garantizar una cobertura de luz uniforme.,faq-swiss-202
FAQ™ 202 Silicone LED Face Mask,El 100% de los usuarios declaró que FAQ™ 202 se adaptó perfectamente a su rostro,faq-swiss-202
60 mL FAQ™ Silicone Cleaning Spray,"Ultraligera, sin cables, con abertura para los ojos y cinta de cabeza antideslizante para que te puedas mover fácilmente.",faq-swiss-202
Display case,La aplicación FAQ™ Swiss incluye tratamientos prediseñados que tratan problemas específicos de la piel.,faq-swiss-202
Accessory pouch,Máscara LED facial de silicona FAQ™ 202,faq-swiss-202
USB charging cable,Spray limpiador de silicona FAQ™ 60 ml,faq-swiss-202
Quick start guide,Estuche,faq-swiss-202
User manual,Bolsa de almacenamiento,faq-swiss-202
2-year warranty,Cable USB,faq-swiss-202
FAQ™ 202 Bundle,Guía de inicio rápido,faq-swiss-202
"The ultimate best-buy bundle proves that a perfect pair can change a life. An Anti-Aging LED Mask with 8 wavelengths, including NIR, serves all skin needs, tackling everything from fine lines and pigmentation to blemishes and dullness. Combine the lightweight, wire-free LED mask with the FAQ™ Red Light Peptide Serum, an all-in-one antioxidant-rich serum with Peptides, Sea Daffodil, HA, Green Tea & Cica.",Manual de uso,faq-swiss-202
Clinically proven to reduce wrinkles by 32% in just 2 weeks.,Garantía de 2 años,faq-swiss-202
Clinically proven to significantly improve skin firmness and elasticity in just 2 weeks.,FAQ™ 202 Bundle,faq-swiss-202
Reduces acne by 48% and sebum by 18% in just 2 weeks.,"El pack definitivo y más rentable demuestra que una pareja perfecta puede cambiar tu vida. Una máscara LED antiedad con 8 longitudes de onda, incluyendo NIR, que cubre todas las necesidades de la piel, desde líneas finas y pigmentación hasta imperfecciones y falta de luminosidad. Combina esta ligera máscara LED sin cables con el sérum FAQ™ Red Light Peptide, un sérum todo en uno rico en antioxidantes con péptidos, Narciso Marino, ácido hialurónico, té verde y cica.",faq-swiss-202
623 points of light placed in optimal locations ensure even light coverage.,Está clínicamente probado que reduce las arrugas un 32 % en solo 2 semanas.,faq-swiss-202
"Collagen-boosting Peptides, brightening Sea Daffodil, hydrating HA, soothing Green Tea & Cica.",Mejora significativamente la firmeza y elasticidad de la piel en solo 2 semanas.,faq-swiss-202
Preps and primes to optimize LED performance for best results while supporting the skin barrier.,Reduce el acné un 48 % y el sebo un 18 % en solo 2 semanas.,faq-swiss-202
FAQ™ 202 plus Pre-order,623 puntos de luz colocados estratégicamente aseguran una cobertura uniforme.,faq-swiss-202
"The ultimate best-buy bundle proves that a perfect pair can change a life. An Anti-Aging LED Mask with 8 (NIR + 7) wavelengths and extra LEDs in the forehead diamond, serves all skin needs, tackling everything from fine lines and pigmentation to blemishes and dullness. Combine the lightweight, wire-free LED mask with the FAQ™ Red Light Peptide Serum, an all-in-one antioxidant-rich serum with Peptides, Sea Daffodil, HA, Green Tea & Cica.","Péptidos que estimulan el colágeno, Narciso Marino que ilumina, ácido hialurónico que hidrata y té verde y cica que calman.",faq-swiss-202
Clinically proven to improve firmness and elasticity and reduce wrinkles by 32% in just 2 weeks.,"Prepara y potencia la piel para optimizar el rendimiento de la LED y conseguir los mejores resultados, además de proteger la barrera cutánea.",faq-swiss-202
"50% stronger lights, better eye area penetration, and 9 additional LEDs to fade mid-brow frown lines",FAQ™ 202 plus Pre-order,faq-swiss-202
Reduces acne by 48% and sebum by 18% in just 2 weeks.,"El pack definitivo y más rentable demuestra que una pareja perfecta puede cambiar tu vida. Una máscara LED antiedad con 8 longitudes de onda (NIR + 7) y LEDs extra en el diamante de la frente, que cubre todas las necesidades de la piel, tratando desde líneas finas y pigmentación hasta imperfecciones y falta de luminosidad. Combina esta ligera máscara LED sin cables con el sérum FAQ™ Red Light Peptide, un sérum todo en uno rico en antioxidantes con péptidos, Narciso Marino, ácido hialurónico, té verde y cica.",faq-swiss-202
634 points of light with extra forehead LEDs ensure even light coverage.,Está clínicamente probado que mejora la firmeza y elasticidad y reduce las arrugas un 32 % en solo 2 semanas.,faq-swiss-202
"Collagen-boosting Peptides, brightening Sea Daffodil, hydrating HA, soothing Green Tea & Cica.","Luces LED un 50 % más potentes, mejor penetración en el área de los ojos y 9 LEDs adicionales para atenuar las líneas del ceño medio.",faq-swiss-202
Preps and primes to optimize LED performance for best results while supporting the skin barrier.,Reduce el acné un 48 % y el sebo un 18 % en solo 2 semanas.,faq-swiss-202
RELATED PRODUCTS,634 puntos de luz con LEDs extra en la frente aseguran una cobertura uniforme.,faq-swiss-202
RELATED PRODUCTS,"Péptidos que estimulan el colágeno, Narciso Marino que ilumina, ácido hialurónico que hidrata y té verde y cica que calman.",faq-swiss-202
FAQ™ 221,"Prepara y potencia la piel para optimizar el rendimiento de la LED y conseguir los mejores resultados, además de proteger la barrera cutánea.",faq-swiss-202
FAQ™ P1,PRODUCTOS RELACIONADOS,faq-swiss-202
FAQ™ 211,PRODUCTOS RELACIONADOS,faq-swiss-202
FAQ™ Red Light Peptide Serum,FAQ™ 221,faq-swiss-202
FAQ™ vs Other LED Masks,FAQ™ P1,faq-swiss-202
"Unlike other LED masks which only beam light on a few specific points on the face, FAQ™ LED masks spread light evenly across your skin via 600 optimized points of light.",FAQ™ 211,faq-swiss-202
"Coupled with the flexi-fit aspect, this ensures that the LED wavelengths penetrate each millimeter of the skin - delivering the same effective treatment to all areas at the same time, no matter what your face shape.",FAQ™ Red Light Peptide Serum,faq-swiss-202
A perfect fit,FAQ™ vs. Otras Máscaras LED,faq-swiss-202
